monitorID,longitude,latitude,elevation,timezone,countryCode,stateCode,siteName,agencyName,countyName,msaName,monitorType,siteID,instrumentID,aqsID,pwfslID,pwfslDataIngestSource,telemetryAggregator,telemetryUnitID
060539998_01,-121.804919,36.572725,148,America/Los_Angeles,US,CA,MBARD Office - Monterey,Monterey Bay Unified APCD,Monterey,"Salinas, CA",NA,060539998,01,060539998,NA,AIRNOW,NA,NA
171630010_01,-90.160614,38.611893,124,America/Chicago,US,IL,East St. Louis,Illinois EPA,St. Clair,"St. Louis, MO-IL",NA,171630010,01,171630010,NA,AIRNOW,NA,NA
060670006_01,-121.368007,38.613804,25,America/Los_Angeles,US,CA,Arden Arcade - Del Paso Manor,Sacramento Metro. AQMD,Sacramento,"Sacramento--Arden-Arcade--Roseville, CA",NA,060670006,01,060670006,NA,AIRNOW,NA,NA
390030009_01,-84.0539,40.771,275,America/New_York,US,OH,Lima,Ohio EPA-DAPC,Allen,"Lima, OH",NA,390030009,01,390030009,NA,AIRNOW,NA,NA
261130001_01,-84.891899,44.3106,NA,America/Detroit,US,MI,HOUGHTON LAKE,"Michigan Department of Environment, Great Lakes, and Energy",Missaukee,"Cadillac, MI",NA,261130001,01,261130001,NA,AIRNOW,NA,NA
471071002_01,-84.5992,35.4511,NA,America/New_York,US,TN,ATHENS,Tennessee Air Pollution Control Div.,Mc Minn,"Athens, TN",NA,471071002,01,471071002,NA,AIRNOW,NA,NA
010736004_01,-86.796389,33.565278,NA,America/Chicago,US,AL,Shuttlesworth,Jefferson County Department of Health,Jefferson,"Birmingham-Hoover, AL",NA,010736004,01,010736004,NA,AIRNOW,NA,NA
450830011_01,-81.924797,34.955601,232,America/New_York,US,SC,TK Gregg,South Carolina DHEC,Spartanburg,"Spartanburg, SC",NA,450830011,01,450830011,NA,AIRNOW,NA,NA
420150011_01,-76.512726,41.705226,340,America/New_York,US,PA,Towanda,Pennsylvania Dept. of Environmental Protection,Bradford,NA,NA,420150011,01,420150011,NA,AIRNOW,NA,NA
471570075_01,-89.85022,35.151588,88,America/Chicago,US,TN,SHELBY FARMS,Shelby County Health Department,Shelby,"Memphis, TN-MS-AR",NA,471570075,01,471570075,NA,AIRNOW,NA,NA
160490002_01,-116.115196,45.931301,NA,America/Los_Angeles,US,ID,Grangeville,Idaho Department of Environmental Quality,Idaho,NA,NA,160490002,01,160490002,NA,AIRNOW,NA,NA
360551007_01,-77.5481,43.1461,NA,America/New_York,US,NY,Rochester,New York Dept. of Environmental Conservation,Monroe,"Rochester, NY",NA,360551007,01,360551007,NA,AIRNOW,NA,NA
500210002_01,-72.98246,43.608528,171,America/New_York,US,VT,RUTLAND,Vermont Air Quality & Climate Division,Rutland,"Rutland, VT",NA,500210002,01,500210002,NA,AIRNOW,NA,NA
840MMMT10007_01,-109.677483,48.551019,NA,America/Denver,US,MT,Havre,Montana DEQ,Mt1,NA,NA,840MMMT10007,01,840MMMT10007,NA,AIRNOW,NA,NA
401470217_01,-95.88235,36.908115,NA,America/Chicago,US,OK,Copan,Oklahoma Department of Environmental Quality,Washington,NA,NA,401470217,01,401470217,NA,AIRNOW,NA,NA
000100125_01,-122.90167,49.15833,NA,America/Vancouver,CA,BC,North Delta,Metro Vancouver,British Columbia,NA,NA,000100125,01,000100125,NA,AIRNOW,NA,NA
840180890034_01,-87.435435,41.653446,NA,America/Chicago,US,IN,East Chicago - Marina,Indiana Dept. of Environmental Management,Lake,"Chicago-Naperville-Joliet, IL-IN-WI",NA,840180890034,01,840180890034,NA,AIRNOW,NA,NA
481351014_01,-102.334756,31.870253,884,America/Chicago,US,TX,Odessa Gonzales C1014,Texas Commission on Environmental Quality,Ector,"Odessa, TX",NA,481351014,01,481351014,NA,AIRNOW,NA,NA
